name,start_time,"data","error"
"Async Serial",23.6612255,0xB9A0,
"Async Serial",23.6613977,0xFFF8,
"Async Serial",23.677968,0xB9A0,
"Async Serial",23.6781402,0xFFF8,
"Async Serial",23.6947107,0xB9A0,
"Async Serial",23.6948829,0xFFF8,
"Async Serial",23.7114537,0xB9A0,
"Async Serial",23.7116258,0xFFF8,
"Async Serial",23.7281961,0xB9A0,
"Async Serial",23.7283683,0xFFF8,
"Async Serial",23.7449392,0xB9A0,
"Async Serial",23.7451113,0xFFF8,
"Async Serial",23.7616819,0xB9A0,
"Async Serial",23.7618541,0xFFF8,
"Async Serial",23.7784243,0xB9A0,
"Async Serial",23.7785965,0xFFF8,
"Async Serial",23.7951673,0xB9A0,
"Async Serial",23.7953395,0xFFF8,
"Async Serial",23.8119099,0xB9A0,
"Async Serial",23.8120821,0xFFF8,
"Async Serial",23.8286528,0xB9A0,
"Async Serial",23.8288251,0xFFF8,
"Async Serial",23.8453953,0xB9A0,
"Async Serial",23.8455675,0xFFF8,
"Async Serial",23.8621383,0xB9A0,
"Async Serial",23.8623105,0xFFF8,
"Async Serial",23.8788808,0xB9A0,
"Async Serial",23.879053,0xFFF8,
"Async Serial",23.8956237,0xB9A0,
"Async Serial",23.8957959,0xFFF8,
"Async Serial",23.9123663,0xB9A0,
"Async Serial",23.9125384,0xFFF8,
"Async Serial",23.9291089,0xB9A0,
"Async Serial",23.9292812,0xFFF8,
"Async Serial",23.9458519,0xB9A0,
"Async Serial",23.9460242,0xFFF8,
"Async Serial",23.9625944,0xB9A0,
"Async Serial",23.9627666,0xFFF8,
"Async Serial",23.9793372,0xB9A0,
"Async Serial",23.9795094,0xFFF8,
"Async Serial",23.9960798,0xB9A0,
"Async Serial",23.996252,0xFFF8,
"Async Serial",24.0128229,0xB9A0,
"Async Serial",24.0129952,0xFFF8,
"Async Serial",24.0295657,0xB9A0,
"Async Serial",24.0297378,0xFFF8,
"Async Serial",24.0463081,0xB9A0,
"Async Serial",24.0464802,0xFFF8,
"Async Serial",24.0630512,0xB9A0,
"Async Serial",24.0632233,0xFFF8,
"Async Serial",24.0797938,0xB9A0,
"Async Serial",24.079966,0xFFF8,
"Async Serial",24.0965366,0xB9A0,
"Async Serial",24.0967088,0xFFF8,
"Async Serial",24.1132793,0xB9A0,
"Async Serial",24.1134515,0xFFF8,
"Async Serial",24.1300219,0xB9A0,
"Async Serial",24.1301942,0xFFF8,
"Async Serial",24.1467645,0xB9A0,
"Async Serial",24.1469367,0xFFF8,
"Async Serial",24.1635073,0xB9A0,
"Async Serial",24.1636796,0xFFF8,
"Async Serial",24.1802503,0xB9A0,
"Async Serial",24.1804225,0xFFF8,
"Async Serial",24.196993,0xB9A0,
"Async Serial",24.1971652,0xFFF8,
"Async Serial",24.2137357,0xB9A0,
"Async Serial",24.2139078,0xFFF8,
"Async Serial",24.2304783,0xB9A0,
"Async Serial",24.2306506,0xFFF8,
"Async Serial",24.2472212,0xB9A0,
"Async Serial",24.2473933,0xFFF8,
"Async Serial",24.2639637,0xB9A0,
"Async Serial",24.2641358,0xFFF8,
"Async Serial",24.2807065,0xB9A0,
"Async Serial",24.2808787,0xFFF8,
"Async Serial",24.2974491,0xB9A0,
"Async Serial",24.2976213,0xFFF8,
"Async Serial",24.3141922,0xB9A0,
"Async Serial",24.3143643,0xFFF8,
"Async Serial",24.3309348,0xB9A0,
"Async Serial",24.3311071,0xFFF8,
"Async Serial",24.3476775,0xB9A0,
"Async Serial",24.3478497,0xFFF8,
"Async Serial",24.3644201,0xB9A0,
"Async Serial",24.3645922,0xFFF8,
"Async Serial",24.3811631,0xB9A0,
"Async Serial",24.3813353,0xFFF8,
"Async Serial",24.3979055,0xB9A0,
"Async Serial",24.3980777,0xFFF8,
"Async Serial",24.4146486,0xB9A0,
"Async Serial",24.4148208,0xFFF8,
"Async Serial",24.4313913,0xB9A0,
"Async Serial",24.4315635,0xFFF8,
"Async Serial",24.4481338,0xB9A0,
"Async Serial",24.448306,0xFFF8,
"Async Serial",24.4648765,0xB9A0,
"Async Serial",24.4650487,0xFFF8,
"Async Serial",24.4816193,0xB9A0,
"Async Serial",24.4817916,0xFFF8,
"Async Serial",24.4983622,0xB9A0,
"Async Serial",24.4985344,0xFFF8,
"Async Serial",24.515105,0xB9A0,
"Async Serial",24.5152773,0xFFF8,
"Async Serial",24.5318477,0xB9A0,
"Async Serial",24.5320198,0xFFF8,
"Async Serial",24.5485904,0xB9A0,
"Async Serial",24.5487626,0xFFF8,
"Async Serial",24.5653332,0xB9A0,
